"N1","tablet_mean","tablet_cv","mean_true_conc","mean_estimated_conc","empirical_sd","empirical_cv","mean_tablet_term","mean_calibration_term","mean_marker_term","mean_theoretical_error","mean_bias","mean_percent_bias","rmse","mean_effort","failure_rate"
1,5000,0,10000,10011.0908096135,347.692857017497,3.47307664698847,0,2.19774425098712,3.16398850840501,3.86402667258189,11.0908096135389,0.110908096135389,347.834947660969,3079.1914,0
1,5000,0.01,10000,10003.9925291409,364.356682104098,3.64211269693329,1,2.21336051632309,3.16289644695655,3.99899858347142,3.99252914087589,0.0399252914087589,364.342120711411,3079.8366,0
1,5000,0.03,10000,10020.9850603481,461.402049393878,4.60435822042679,3,2.20837291719214,3.16414746561719,4.89821700903638,20.9850603480876,0.209850603480876,461.832919541739,3081.0562,0
1,5000,0.05,10000,10031.6170755501,616.211302712617,6.14269163258334,5,2.21107196439538,3.16611214646437,6.327276461483,31.6170755500951,0.316170755500951,616.960343768709,3079.9108,0
1,5000,0.07,10000,10046.2689874485,777.374827958034,7.73794558884758,7,2.20614379164713,3.16774554495058,8.00202372511028,46.2689874485132,0.462689874485132,778.672960887731,3080.2326,0
1,5000,0.09,10000,10074.6365086026,994.350689316995,9.86984183963294,9,2.20207756235918,3.17067831399822,9.80023142968995,74.6365086026002,0.746365086026002,997.048722532104,3081.112,0
1,5000,0.11,10000,10147.9697829127,1206.21265841516,11.8862460592482,11,2.20080122972098,3.18033831681633,11.6668259636672,147.96978291271,1.4796978291271,1215.13499010634,3078.3546,0
